Date,Passengers
2008-01-01,112
2008-02-01,118
2008-03-01,132
2008-04-01,129
2008-05-01,121
2008-06-01,135
2008-07-01,148
2008-08-01,148
2008-09-01,136
2008-10-01,119
2008-11-01,104
2008-12-01,118
2009-01-01,115
2009-02-01,126
2009-03-01,141
2009-04-01,135
2009-05-01,125
2009-06-01,149
2009-07-01,170
2009-08-01,170
2009-09-01,158
2009-10-01,133
2009-11-01,114
2009-12-01,140
2010-01-01,145
2010-02-01,150
2010-03-01,178
2010-04-01,163
2010-05-01,172
2010-06-01,178
2010-07-01,199
2010-08-01,199
2010-09-01,184
2010-10-01,162
2010-11-01,146
2010-12-01,166
2011-01-01,171
2011-02-01,180
2011-03-01,193
2011-04-01,181
2011-05-01,183
2011-06-01,218
2011-07-01,230
2011-08-01,242
2011-09-01,209
2011-10-01,191
2011-11-01,172
2011-12-01,194
2012-01-01,196
2012-02-01,196
2012-03-01,236
2012-04-01,235
2012-05-01,229
2012-06-01,243
2012-07-01,264
2012-08-01,272
2012-09-01,237
2012-10-01,211
2012-11-01,180
2012-12-01,201
2013-01-01,204
2013-02-01,188
2013-03-01,235
2013-04-01,227
2013-05-01,234
2013-06-01,264
2013-07-01,302
2013-08-01,293
2013-09-01,259
2013-10-01,229
2013-11-01,203
2013-12-01,229
2014-01-01,242
2014-02-01,233
2014-03-01,267
2014-04-01,269
2014-05-01,270
2014-06-01,315
2014-07-01,364
2014-08-01,347
2014-09-01,312
2014-10-01,274
2014-11-01,237
2014-12-01,278
2015-01-01,284
2015-02-01,277
2015-03-01,317
2015-04-01,313
2015-05-01,318
2015-06-01,374
2015-07-01,413
2015-08-01,405
2015-09-01,355
2015-10-01,306
2015-11-01,271
2015-12-01,306
2016-01-01,315
2016-02-01,301
2016-03-01,356
2016-04-01,348
2016-05-01,355
2016-06-01,422
2016-07-01,465
2016-08-01,467
2016-09-01,404
2016-10-01,347
2016-11-01,305
2016-12-01,336
2017-01-01,340
2017-02-01,318
2017-03-01,362
2017-04-01,348
2017-05-01,363
2017-06-01,435
2017-07-01,491
2017-08-01,505
2017-09-01,404
2017-10-01,359
2017-11-01,310
2017-12-01,337
2018-01-01,360
2018-02-01,342
2018-03-01,406
2018-04-01,396
